1,China,1
2,Denmark,2
3,Denmark/Sweden,2
4,Netherlands,3
5,United States,4
6,Finland,5
7,Norway,6
8,Romania,7
9,Estonia,8
10,France,9
11,Taifun,6
12,Morocco,10
13,Spain,11
14,Egypt,12
15,Iran,13
16,Bulgaria,14
17,Italy,15
18,Chad,16
19,Azerbaijan,17
20,Sudan,18
21,Russia,19
22,Argentina,20
23,Cuba,21
24,Belarus,22
25,Greece,23
26,Cameroon,24
27,Turkey,25
28,Chile,26
29,Mexico,27
30,Soviet Union,28
31,Nicaragua,29
32,Hungary,30
33,Nigeria,31
34,Algeria,32
35,Kuwait,33
36,Bahrain,34
37,Pakistan,35
38,Iraq,36
39,United Arab Republic,37
40,Lebanon,38
41,Qatar,39
42,Malaysia,40
43,Germany,41
44,Thessalonki-1,23
45,Canada,42
46,Ireland,43
47,Australia,44
48,South Africa,45
49,Eritrea,46
50,Tanzania,47
51,Jordan,48
52,Tunisia,49
53,Libya,50
54,Belgium,51
55,Djibouti,52
56,Palestine,53
57,Comoros,54
58,Kazakhstan,55
59,Brunei,56
60,India,57
61,Saudi Arabia,58
62,Syria,59
63,Maldives,60
64,Ethiopia,61
65,United Arab Emirates,62
66,North Yemen,63
67,Indonesia,64
68,Philippines,65
69,Singapore,66
70,Uzbekistan,67
71,Kyrgyzstan,68
72,Tajikistan,69
73,Unified Team,70
74,Japan,71
75,Japan-1,71
76,Congo (Brazzaville),72
77,Switzerland,73
78,Brazil,74
79,West Germany,75
80,East Germany,76
81,Monaco,77
82,Fornebo,6
83,Israel,78
84,Vesper Boat Club,4
85,Uruguay,79
86,Sweden,80
87,United States Virgin Islands,81
88,Sri Lanka,82
89,Armenia,83
90,Cote d'Ivoire,84
91,Kenya,85
92,Benin,86
93,France-1,9
94,Ukraine,87
95,Great Britain,88
96,Ghana,89
97,Somalia,90
98,Latvia,91
99,Niger,92
100,Mali,93
101,Afghanistan,94
102,Poland,95
103,Costa Rica,96
104,Panama,97
105,Georgia,98
106,Slovenia,99
107,Croatia,100
108,Russia-2,19
109,Russia-1,19
110,Guyana,101
111,New Zealand,102
112,Portugal,103
113,Paraguay,104
114,Angola,105
115,Venezuela,106
116,Colombia,107
117,Bangladesh,108
118,Peru,109
119,El Salvador,110
120,Puerto Rico,111
121,France-2,9
122,Uganda,112
123,Switzerland-2,73
124,Switzerland-1,73
125,Honduras,113
126,Ecuador,114
127,Turkmenistan,115
128,Mauritius,116
129,Seychelles,117
130,Czechoslovakia,118
131,Great Britain-1,88
132,Luxembourg,119
133,Mauritania,120
134,Czech Republic,121
135,Saint Kitts and Nevis,122
136,New York Athletic Club #2-4,4
137,Trinidad and Tobago,123
138,Dominican Republic,124
139,Saint Vincent and the Grenadines,125
140,Mystery,4
141,Jamaica,126
142,Liberia,127
143,Suriname,128
144,Nigeria-2,31
145,Nepal,129
146,Mongolia,130
147,Germany-2,41
148,Austria,131
149,Clementine V,74
150,Bylina-2,19
151,Palau,132
152,Lithuania,133
153,Togo,134
154,Namibia,135
155,Netherlands Antilles,136
156,Iceland,137
157,American Samoa,138
158,Samoa,139
159,Rwanda,140
160,Dominica,141
161,Great Britain-2,88
162,Haiti,142
163,Stella-2,6
164,Malta,143
165,United States-1,4
166,United States-2,4
167,Argentina-2,20
168,"Large boat, Central Naval Prep School ""Poros""-1",23
169,Cyprus,144
170,Guinea,145
171,Xolotl,27
172,Belize,146
173,Matrero II,20
174,Blue Red,20
175,Gteborgs Roddklubb-1,80
176,Indonesia-1,64
177,Germany-1,41
178,South Yemen,147
179,South Korea,148
180,Lucky Girl-1,5
181,Mutafo,41
182,Sweden-2,80
183,Sweden-1,80
184,Thailand,149
185,Italy-2,15
186,Yeoman VII,88
187,Yeoman XII,88
188,Bermuda,150
189,Australasia,151
190,Union des Socits Franais de Sports Athletiques,9
191,Serbia and Montenegro,152
192,Sierra Leone,153
193,Bissbi,80
194,Papua New Guinea,154
195,Greece-3,23
196,Yemen,155
197,Individual Olympic Athletes,156
198,Oman,157
199,Fiji,158
200,Vanuatu,159
201,France-3,9
202,Martha-27,9
203,Martha-1,9
204,Moldova,160
205,Canada-2,42
206,Canada-1,42
207,Yugoslavia,161
208,Bahamas,162
209,Guatemala,163
210,Burevestnik,28
211,Druzhba,28
212,Soviet Union-2,28
213,Soviet Union-1,28
214,Olen,28
215,Serbia,164
216,British Virgin Islands,165
217,Mozambique,166
218,Heatherbell,5
219,Central African Republic,167
220,Madagascar,168
221,Malaya,169
222,Socit Nautique de Bayonne,9
223,Bosnia and Herzegovina,170
224,Guam,171
225,Brazil-1,74
226,Cayman Islands,172
227,Cupidon Viking,9
228,Damoiselle,9
229,Slovakia,173
230,USFSA,9
231,The Cloud,43
232,Galerna,11
233,Heira II,6
234,Nykjbings paa Falster,2
235,Barbados,174
236,Ireland-2,88
237,Spain-2,11
238,Guinea Bissau,175
239,Mohawk Indians-2,42
240,Tornado,80
241,Elsie,80
242,Roma,15
243,Tajamar,11
244,Spain-1,11
245,"Lemzos Thorichton ""Spetsai""-4",23
246,Norway-2,6
247,Norway-1,6
248,Italy-1,15
249,Puerto Rico-2,111
250,Mound City Rowing Club-2,4
251,Timor Leste,176
252,Amolgavar,11
253,Congo (Kinshasa),177
254,Gabon,178
255,Ali-Baba II,80
256,May Be VII,80
257,East Germany-1,76
